시간,dB,dB_smoothed,is_noise,is_rem
2025-11-12 01:17:03,36.593227,42.729654000000004,False,False
2025-11-12 01:17:04,51.90447,41.00095675,True,False
2025-11-12 01:17:05,39.691265,39.9085854,False,False
2025-11-12 01:17:06,35.814865,41.20924,False,False
2025-11-12 01:17:07,35.5391,39.3511114,False,False
2025-11-12 01:17:08,43.0965,38.7804418,True,False
2025-11-12 01:17:09,42.613827,39.3726918,True,False
2025-11-12 01:17:10,36.837917,40.548564799999994,False,False
2025-11-12 01:17:11,38.776115,39.222914,False,False
2025-11-12 01:17:12,41.418465,39.2597466,True,False
2025-11-12 01:17:13,36.468246,38.6944298,False,False
2025-11-12 01:17:14,42.79799,38.1021798,True,False
2025-11-12 01:17:15,34.011333,34.777830200000004,False,False
2025-11-12 01:17:16,35.814865,31.878207599999996,False,False
2025-11-12 01:17:17,24.796717,27.7126362,False,False
2025-11-12 01:17:18,21.970133,25.1653476,False,False
2025-11-12 01:17:19,21.970133,22.3964012,False,False
2025-11-12 01:17:20,21.27489,21.6920358,False,False
2025-11-12 01:17:21,21.970133,21.6920358,False,False
2025-11-12 01:17:22,21.27489,21.5529872,False,False
2025-11-12 01:17:23,21.970133,21.8207746,False,False
2025-11-12 01:17:24,21.27489,21.9495134,False,False
2025-11-12 01:17:25,22.613827,22.2173008,False,False
2025-11-12 01:17:26,22.613827,22.3460396,False,False
2025-11-12 01:17:27,22.613827,22.3460396,False,False
2025-11-12 01:17:28,22.613827,22.3460396,False,False
2025-11-12 01:17:29,21.27489,22.465892200000003,False,False
2025-11-12 01:17:30,22.613827,22.9024702,False,False
2025-11-12 01:17:31,23.21309,24.392013600000002,False,False
2025-11-12 01:17:32,24.796717,24.2408596,False,False
2025-11-12 01:17:33,30.061544,24.112120800000003,False,False
2025-11-12 01:17:34,20.51912,23.8635294,False,False
2025-11-12 01:17:35,21.970133,23.4269514,False,False
2025-11-12 01:17:36,21.970133,27.3461386,False,False
2025-11-12 01:17:37,22.613827,27.9970478,False,False
2025-11-12 01:17:38,49.65748,28.125786599999998,True,False
2025-11-12 01:17:39,23.773666,28.2545254,False,False
2025-11-12 01:17:40,22.613827,28.2545254,False,False
2025-11-12 01:17:41,22.613827,22.717056,False,False
2025-11-12 01:17:42,22.613827,22.0661468,False,False
2025-11-12 01:17:43,21.970133,21.937407999999998,False,False
2025-11-12 01:17:44,20.51912,22.1693758,False,False
2025-11-12 01:17:45,21.970133,22.1693758,False,False
2025-11-12 01:17:46,23.773666,22.0303272,False,False
2025-11-12 01:17:47,22.613827,22.0303272,False,True
2025-11-12 01:17:48,21.27489,21.8912786,False,True
